timestamp,step,status,records,message
2026-06-06 19:00:41,Load ChartMogul Customers,OK,3739,
2026-06-06 19:00:41,Load HubSpot Contacts,OK,18570,
2026-06-06 19:00:41,Load HubSpot Companies,OK,3338,
2026-06-06 19:00:41,Load HubSpot Deals,OK,20150,
2026-06-06 19:00:41,Create dim_cliente,OK,3739,
2026-06-06 19:00:41,Create dim_pais,OK,38,
2026-06-06 19:00:41,Create dim_estado_cliente,OK,4,
2026-06-06 19:00:43,Create dim_empresa,OK,3338,
2026-06-06 19:00:44,Create dim_pipeline,OK,15,
2026-06-06 19:00:47,Prepare PostHog Events,OK,10000,
2026-06-06 19:00:47,Create dim_evento,OK,48,
2026-06-06 19:00:54,Create dim_tiempo,OK,959,
2026-06-06 19:00:54,Create fact_retention,OK,3739,
2026-06-06 19:01:04,Create fact_pipeline,OK,20150,
2026-06-06 19:01:04,Create fact_product_usage,OK,726,
2026-06-06 19:01:04,Create transformation_mapping,OK,8,
